Nama Lengkap,Alamat,E-Mail,Username,Password,Tipe User
ADMIN,ADMIN,ADMIN,ADMIN,ADMIN,ADMIN
Bambang Sutarjo,Planet Bekasi,aswq@gmail.com,BambangTampan,avsgefj,Customer
Bambang Sutarjo,Planet Bekasi,aswq@gmail.com,BambangTampan,avsgefj,Customer
Aditya Bayu Pratama,Jatisari,aditya@gmail.com,Ayuma,ajgenakjuga,Seller
Adit,Geger,a2sdd@gmail.com,ewwse,eede,Seller
Adit,Geger,a2sdd@gmail.com,ewwse,eede,Seller
Gemma,Bekasi,KakGem@gmail.com,Kak Gem,KakGem123,Customer
Saya,sini,s@gmail.com,saya,123,Customer
Saya,sana,s@gmail.com,saya,123,Seller
A,sini,A@gmail.com,a,123,Customer
Tatang,Jl. Besar No. 24 Bekasi,TatangSiTampan@gmail.com,Kebun Pak tatang,TatangSiTampan,Customer
Nanda,Jl. Suntasoro Namek,sss@gmail.com,Bagus Maragus,NandaKeren123,Customer
